manifest_index,sdr_in_db,sdr_out_db,delta_sdr_db,best_permutation
0,-0.058,6.157,6.215,"(0, 1)"
1,0.005,9.827,9.822,"(0, 1)"
2,0.01,9.211,9.202,"(0, 1)"
3,0.002,8.99,8.988,"(0, 1)"
4,-0.05,5.705,5.755,"(0, 1)"
5,0.02,-0.833,-0.853,"(0, 1)"
6,0.146,1.645,1.499,"(0, 1)"
7,0.194,9.109,8.915,"(0, 1)"
8,0.038,6.152,6.114,"(0, 1)"
9,0.006,6.67,6.665,"(0, 1)"
10,0.015,10.074,10.059,"(0, 1)"
11,0.025,10.589,10.564,"(0, 1)"
12,0.03,-0.027,-0.058,"(0, 1)"
13,0.003,8.263,8.26,"(0, 1)"
14,0.045,9.531,9.486,"(0, 1)"
15,-0.066,8.314,8.38,"(0, 1)"
16,-0.072,8.836,8.909,"(0, 1)"
17,0.294,6.69,6.396,"(0, 1)"
18,0.239,6.457,6.219,"(0, 1)"
19,0.082,8.217,8.135,"(0, 1)"
20,0.03,11.03,11.0,"(0, 1)"
21,-0.067,6.888,6.956,"(0, 1)"
22,-0.028,3.049,3.077,"(0, 1)"
23,-0.029,9.47,9.499,"(0, 1)"
24,0.05,10.488,10.438,"(0, 1)"
25,-0.299,-1.411,-1.112,"(0, 1)"
26,0.06,13.701,13.64,"(0, 1)"
27,-0.096,12.128,12.224,"(0, 1)"
28,-0.023,3.396,3.419,"(0, 1)"
29,0.229,5.645,5.416,"(0, 1)"
30,-0.156,8.374,8.53,"(0, 1)"
31,0.023,8.796,8.773,"(0, 1)"
32,-0.154,2.395,2.549,"(0, 1)"
33,0.007,9.097,9.089,"(0, 1)"
34,-0.066,9.437,9.503,"(0, 1)"
35,-0.108,5.934,6.042,"(0, 1)"
36,-0.283,9.33,9.613,"(0, 1)"
37,-0.085,6.956,7.041,"(0, 1)"
38,0.019,6.291,6.272,"(0, 1)"
39,-0.027,7.518,7.545,"(0, 1)"
40,-0.292,2.931,3.223,"(0, 1)"
41,-0.356,7.118,7.474,"(0, 1)"
42,0.009,7.005,6.996,"(0, 1)"
43,0.105,-3.492,-3.597,"(0, 1)"
44,0.03,6.109,6.079,"(0, 1)"
45,-0.031,12.581,12.611,"(0, 1)"
46,0.021,-1.655,-1.676,"(0, 1)"
47,-0.02,8.296,8.316,"(0, 1)"
48,-0.064,10.189,10.253,"(0, 1)"
49,0.033,10.458,10.424,"(0, 1)"
