manifest_index,sdr_in_db,sdr_out_db,delta_sdr_db,best_permutation
0,-1.065,4.473,5.539,"(1, 0)"
1,-0.857,1.063,1.919,"(1, 0)"
2,-0.76,-8.714,-7.954,"(0, 1)"
3,-0.956,0.209,1.165,"(1, 0)"
4,-0.794,-1.952,-1.158,"(1, 0)"
5,-0.839,3.496,4.335,"(1, 0)"
6,-0.919,4.162,5.081,"(1, 0)"
7,-1.236,5.929,7.165,"(1, 0)"
8,-0.922,5.372,6.294,"(1, 0)"
9,-0.96,3.461,4.421,"(0, 1)"
10,-0.804,3.536,4.339,"(0, 1)"
11,-1.185,1.898,3.083,"(0, 1)"
12,-0.766,3.497,4.263,"(1, 0)"
13,-1.154,0.475,1.628,"(0, 1)"
14,-0.853,-6.487,-5.633,"(0, 1)"
15,-0.827,2.87,3.697,"(1, 0)"
16,-0.755,-12.499,-11.745,"(1, 0)"
17,-1.346,1.375,2.721,"(1, 0)"
18,-0.997,3.495,4.492,"(1, 0)"
19,-0.92,1.195,2.115,"(0, 1)"
20,-1.163,-1.932,-0.769,"(0, 1)"
21,-0.813,6.536,7.349,"(1, 0)"
22,-0.807,1.5,2.308,"(1, 0)"
23,-1.262,6.631,7.893,"(1, 0)"
24,-0.926,3.599,4.526,"(1, 0)"
25,-1.064,5.524,6.588,"(0, 1)"
26,-0.761,3.369,4.129,"(0, 1)"
27,-0.939,8.851,9.79,"(0, 1)"
28,-0.846,0.282,1.128,"(1, 0)"
29,-1.303,2.759,4.062,"(0, 1)"
30,-0.787,-3.999,-3.212,"(1, 0)"
31,-0.666,10.624,11.29,"(0, 1)"
32,-1.142,-6.908,-5.765,"(0, 1)"
33,-0.698,2.281,2.978,"(1, 0)"
34,-0.827,1.426,2.253,"(1, 0)"
35,-1.048,10.03,11.078,"(1, 0)"
36,-0.818,6.135,6.954,"(1, 0)"
37,-0.814,1.095,1.91,"(1, 0)"
38,-1.243,7.522,8.765,"(1, 0)"
39,-1.442,5.21,6.653,"(1, 0)"
40,-0.807,1.32,2.127,"(1, 0)"
41,-0.787,1.432,2.219,"(1, 0)"
42,-0.764,-2.672,-1.908,"(1, 0)"
43,-0.919,2.056,2.974,"(0, 1)"
44,-0.864,0.547,1.411,"(1, 0)"
45,-0.816,2.343,3.158,"(1, 0)"
46,-1.183,-2.686,-1.502,"(0, 1)"
47,-1.053,1.049,2.101,"(1, 0)"
48,-0.769,4.01,4.779,"(0, 1)"
49,-0.836,5.125,5.962,"(1, 0)"
50,-0.717,-0.198,0.52,"(0, 1)"
51,-1.0,-10.988,-9.988,"(1, 0)"
52,-0.863,-0.986,-0.122,"(0, 1)"
53,-0.817,0.585,1.401,"(1, 0)"
54,-1.107,6.543,7.649,"(1, 0)"
55,-0.86,0.175,1.035,"(0, 1)"
56,-1.017,7.898,8.915,"(0, 1)"
57,-0.68,-5.578,-4.898,"(1, 0)"
58,-1.002,-2.65,-1.648,"(1, 0)"
59,-0.821,2.284,3.105,"(0, 1)"
