epoch,mean_loss,dc_loss,sa_loss,sdr_in_db,sdr_out_db,delta_sdr_db,is_best
1,0.266646,0.000000,0.266646,-0.013,-0.864,-0.851,1
2,0.234429,0.000000,0.234429,,,,0
3,0.220757,0.000000,0.220757,,,,0
4,0.222349,0.000000,0.222349,,,,0
5,0.201671,0.000000,0.201671,-0.013,0.608,0.621,1
6,0.184186,0.000000,0.184186,,,,0
7,0.172150,0.000000,0.172150,,,,0
8,0.154750,0.000000,0.154750,,,,0
9,0.143807,0.000000,0.143807,,,,0
10,0.161040,0.000000,0.161040,-0.013,1.971,1.984,1
11,0.132719,0.000000,0.132719,,,,0
12,0.116808,0.000000,0.116808,,,,0
13,0.129683,0.000000,0.129683,,,,0
14,0.105754,0.000000,0.105754,,,,0
15,0.091871,0.000000,0.091871,-0.013,3.968,3.981,1
16,0.078839,0.000000,0.078839,,,,0
17,0.082270,0.000000,0.082270,,,,0
18,0.081260,0.000000,0.081260,,,,0
19,0.066432,0.000000,0.066432,,,,0
20,0.059979,0.000000,0.059979,-0.013,4.475,4.488,1
21,0.054893,0.000000,0.054893,,,,0
22,0.051872,0.000000,0.051872,,,,0
23,0.049389,0.000000,0.049389,,,,0
24,0.047291,0.000000,0.047291,,,,0
25,0.046061,0.000000,0.046061,-0.013,4.870,4.883,1
26,0.044102,0.000000,0.044102,,,,0
27,0.041408,0.000000,0.041408,,,,0
28,0.040477,0.000000,0.040477,,,,0
29,0.040598,0.000000,0.040598,,,,0
30,0.038462,0.000000,0.038462,-0.013,5.236,5.249,1
31,0.036265,0.000000,0.036265,,,,0
32,0.034249,0.000000,0.034249,,,,0
33,0.032582,0.000000,0.032582,,,,0
34,0.030880,0.000000,0.030880,,,,0
35,0.030263,0.000000,0.030263,-0.013,6.131,6.144,1
36,0.029168,0.000000,0.029168,,,,0
37,0.028087,0.000000,0.028087,,,,0
38,0.027255,0.000000,0.027255,,,,0
39,0.026647,0.000000,0.026647,,,,0
40,0.025479,0.000000,0.025479,-0.013,6.095,6.108,0
41,0.024871,0.000000,0.024871,,,,0
42,0.024818,0.000000,0.024818,,,,0
43,0.024279,0.000000,0.024279,,,,0
44,0.023435,0.000000,0.023435,,,,0
45,0.023322,0.000000,0.023322,-0.013,6.433,6.446,1
46,0.022895,0.000000,0.022895,,,,0
47,0.022559,0.000000,0.022559,,,,0
48,0.021872,0.000000,0.021872,,,,0
