epoch,mean_loss,dc_loss,sa_loss,sdr_in_db,sdr_out_db,delta_sdr_db,is_best
1,0.530288,0.000000,0.530288,-0.933,-2.225,-1.293,1
2,0.503188,0.000000,0.503188,,,,0
3,0.478944,0.000000,0.478944,,,,0
4,0.472295,0.000000,0.472295,,,,0
5,0.454514,0.000000,0.454514,-0.933,-0.867,0.065,1
6,0.429312,0.000000,0.429312,,,,0
7,0.406340,0.000000,0.406340,,,,0
8,0.382334,0.000000,0.382334,,,,0
9,0.366197,0.000000,0.366197,,,,0
10,0.338971,0.000000,0.338971,-0.933,-0.029,0.904,1
11,0.313657,0.000000,0.313657,,,,0
12,0.292593,0.000000,0.292593,,,,0
13,0.259426,0.000000,0.259426,,,,0
14,0.245248,0.000000,0.245248,,,,0
15,0.243031,0.000000,0.243031,-0.933,-0.308,0.624,0
16,0.218861,0.000000,0.218861,,,,0
17,0.219849,0.000000,0.219849,,,,0
18,0.201645,0.000000,0.201645,,,,0
19,0.173811,0.000000,0.173811,,,,0
20,0.162505,0.000000,0.162505,-0.933,0.348,1.281,1
21,0.151516,0.000000,0.151516,,,,0
22,0.146399,0.000000,0.146399,,,,0
23,0.128269,0.000000,0.128269,,,,0
24,0.116017,0.000000,0.116017,,,,0
25,0.108302,0.000000,0.108302,-0.933,1.095,2.028,1
26,0.103219,0.000000,0.103219,,,,0
27,0.097073,0.000000,0.097073,,,,0
28,0.092193,0.000000,0.092193,,,,0
29,0.087793,0.000000,0.087793,,,,0
30,0.086773,0.000000,0.086773,-0.933,0.770,1.703,0
31,0.082981,0.000000,0.082981,,,,0
32,0.079413,0.000000,0.079413,,,,0
33,0.075974,0.000000,0.075974,,,,0
34,0.073561,0.000000,0.073561,,,,0
35,0.070696,0.000000,0.070696,-0.933,0.933,1.866,0
36,0.068668,0.000000,0.068668,,,,0
37,0.068141,0.000000,0.068141,,,,0
38,0.067582,0.000000,0.067582,,,,0
39,0.066546,0.000000,0.066546,,,,0
40,0.064713,0.000000,0.064713,-0.933,1.140,2.073,1
41,0.063323,0.000000,0.063323,,,,0
42,0.060762,0.000000,0.060762,,,,0
43,0.058898,0.000000,0.058898,,,,0
44,0.057380,0.000000,0.057380,,,,0
45,0.056274,0.000000,0.056274,-0.933,0.922,1.855,0
46,0.055371,0.000000,0.055371,,,,0
47,0.054686,0.000000,0.054686,,,,0
48,0.053817,0.000000,0.053817,,,,0
49,0.052760,0.000000,0.052760,,,,0
50,0.052391,0.000000,0.052391,-0.933,0.978,1.910,0
51,0.051395,0.000000,0.051395,,,,0
52,0.051186,0.000000,0.051186,,,,0
53,0.050559,0.000000,0.050559,,,,0
54,0.050254,0.000000,0.050254,,,,0
55,0.049476,0.000000,0.049476,-0.933,1.253,2.186,1
56,0.048896,0.000000,0.048896,,,,0
57,0.048014,0.000000,0.048014,,,,0
58,0.047289,0.000000,0.047289,,,,0
59,0.046760,0.000000,0.046760,,,,0
60,0.046809,0.000000,0.046809,-0.933,0.759,1.692,0
61,0.046544,0.000000,0.046544,,,,0
62,0.045704,0.000000,0.045704,,,,0
63,0.045239,0.000000,0.045239,,,,0
64,0.044799,0.000000,0.044799,,,,0
65,0.044627,0.000000,0.044627,-0.933,0.952,1.885,0
66,0.043939,0.000000,0.043939,,,,0
67,0.043424,0.000000,0.043424,,,,0
68,0.043023,0.000000,0.043023,,,,0
69,0.042443,0.000000,0.042443,,,,0
70,0.042054,0.000000,0.042054,-0.933,1.209,2.141,0
71,0.041890,0.000000,0.041890,,,,0
72,0.042318,0.000000,0.042318,,,,0
73,0.043442,0.000000,0.043442,,,,0
74,0.051435,0.000000,0.051435,,,,0
75,0.291734,0.000000,0.291734,-0.933,-2.851,-1.918,0
76,0.397139,0.000000,0.397139,,,,0
77,0.290573,0.000000,0.290573,,,,0
78,0.229076,0.000000,0.229076,,,,0
79,0.180730,0.000000,0.180730,,,,0
80,0.141018,0.000000,0.141018,-0.933,0.405,1.338,0
81,0.121764,0.000000,0.121764,,,,0
82,0.108728,0.000000,0.108728,,,,0
83,0.113513,0.000000,0.113513,,,,0
84,0.098027,0.000000,0.098027,,,,0
85,0.085227,0.000000,0.085227,-0.933,1.076,2.009,0
86,0.078103,0.000000,0.078103,,,,0
87,0.072303,0.000000,0.072303,,,,0
88,0.067810,0.000000,0.067810,,,,0
89,0.064391,0.000000,0.064391,,,,0
90,0.061571,0.000000,0.061571,-0.933,1.228,2.161,0
91,0.059614,0.000000,0.059614,,,,0
92,0.057831,0.000000,0.057831,,,,0
93,0.056187,0.000000,0.056187,,,,0
94,0.055029,0.000000,0.055029,,,,0
95,0.054042,0.000000,0.054042,-0.933,1.428,2.361,1
96,0.053003,0.000000,0.053003,,,,0
97,0.051909,0.000000,0.051909,,,,0
98,0.051192,0.000000,0.051192,,,,0
99,0.050319,0.000000,0.050319,,,,0
100,0.049624,0.000000,0.049624,-0.933,1.415,2.348,0
101,0.049021,0.000000,0.049021,,,,0
102,0.048185,0.000000,0.048185,,,,0
103,0.047507,0.000000,0.047507,,,,0
104,0.046971,0.000000,0.046971,,,,0
105,0.046355,0.000000,0.046355,-0.933,1.544,2.477,1
106,0.045863,0.000000,0.045863,,,,0
107,0.045644,0.000000,0.045644,,,,0
108,0.045172,0.000000,0.045172,,,,0
109,0.044593,0.000000,0.044593,,,,0
110,0.044373,0.000000,0.044373,-0.933,1.557,2.490,1
111,0.044195,0.000000,0.044195,,,,0
112,0.043941,0.000000,0.043941,,,,0
113,0.043615,0.000000,0.043615,,,,0
114,0.043080,0.000000,0.043080,,,,0
115,0.042853,0.000000,0.042853,-0.933,1.371,2.304,0
116,0.042479,0.000000,0.042479,,,,0
117,0.041937,0.000000,0.041937,,,,0
118,0.041535,0.000000,0.041535,,,,0
119,0.041255,0.000000,0.041255,,,,0
120,0.041316,0.000000,0.041316,-0.933,1.204,2.137,0
121,0.041367,0.000000,0.041367,,,,0
122,0.041054,0.000000,0.041054,,,,0
123,0.040736,0.000000,0.040736,,,,0
124,0.040811,0.000000,0.040811,,,,0
125,0.040647,0.000000,0.040647,-0.933,1.315,2.247,0
126,0.040419,0.000000,0.040419,,,,0
127,0.040063,0.000000,0.040063,,,,0
128,0.039532,0.000000,0.039532,,,,0
129,0.039182,0.000000,0.039182,,,,0
130,0.038977,0.000000,0.038977,-0.933,1.380,2.313,0
131,0.038814,0.000000,0.038814,,,,0
132,0.038775,0.000000,0.038775,,,,0
133,0.038816,0.000000,0.038816,,,,0
134,0.038345,0.000000,0.038345,,,,0
135,0.038373,0.000000,0.038373,-0.933,1.326,2.259,0
136,0.038150,0.000000,0.038150,,,,0
137,0.037859,0.000000,0.037859,,,,0
138,0.037656,0.000000,0.037656,,,,0
139,0.037509,0.000000,0.037509,,,,0
140,0.037226,0.000000,0.037226,-0.933,1.032,1.964,0
141,0.036981,0.000000,0.036981,,,,0
142,0.036847,0.000000,0.036847,,,,0
143,0.036839,0.000000,0.036839,,,,0
144,0.037225,0.000000,0.037225,,,,0
145,0.037031,0.000000,0.037031,-0.933,0.950,1.883,0
146,0.036638,0.000000,0.036638,,,,0
147,0.036346,0.000000,0.036346,,,,0
148,0.036239,0.000000,0.036239,,,,0
149,0.036196,0.000000,0.036196,,,,0
150,0.036127,0.000000,0.036127,-0.933,1.491,2.424,0
151,0.037082,0.000000,0.037082,,,,0
152,0.036716,0.000000,0.036716,,,,0
153,0.036165,0.000000,0.036165,,,,0
154,0.035984,0.000000,0.035984,,,,0
155,0.035532,0.000000,0.035532,-0.933,1.185,2.117,0
156,0.035410,0.000000,0.035410,,,,0
157,0.035162,0.000000,0.035162,,,,0
158,0.034929,0.000000,0.034929,,,,0
159,0.034762,0.000000,0.034762,,,,0
160,0.034794,0.000000,0.034794,-0.933,1.248,2.181,0
161,0.034635,0.000000,0.034635,,,,0
162,0.034475,0.000000,0.034475,,,,0
163,0.034345,0.000000,0.034345,,,,0
164,0.034123,0.000000,0.034123,,,,0
165,0.034098,0.000000,0.034098,-0.933,1.617,2.549,1
166,0.033874,0.000000,0.033874,,,,0
167,0.033635,0.000000,0.033635,,,,0
168,0.033759,0.000000,0.033759,,,,0
169,0.033859,0.000000,0.033859,,,,0
170,0.033919,0.000000,0.033919,-0.933,1.147,2.080,0
171,0.034572,0.000000,0.034572,,,,0
172,0.033879,0.000000,0.033879,,,,0
173,0.033705,0.000000,0.033705,,,,0
174,0.033235,0.000000,0.033235,,,,0
175,0.033205,0.000000,0.033205,-0.933,1.370,2.303,0
176,0.033288,0.000000,0.033288,,,,0
177,0.032841,0.000000,0.032841,,,,0
178,0.032570,0.000000,0.032570,,,,0
179,0.032485,0.000000,0.032485,,,,0
180,0.032436,0.000000,0.032436,-0.933,1.054,1.986,0
181,0.032461,0.000000,0.032461,,,,0
182,0.033678,0.000000,0.033678,,,,0
183,0.039446,0.000000,0.039446,,,,0
184,0.214534,0.000000,0.214534,,,,0
185,0.336261,0.000000,0.336261,-0.933,-2.070,-1.137,0
186,0.299385,0.000000,0.299385,,,,0
187,0.202010,0.000000,0.202010,,,,0
188,0.139242,0.000000,0.139242,,,,0
189,0.108762,0.000000,0.108762,,,,0
190,0.090671,0.000000,0.090671,-0.933,0.257,1.190,0
191,0.080177,0.000000,0.080177,,,,0
192,0.073016,0.000000,0.073016,,,,0
193,0.067465,0.000000,0.067465,,,,0
194,0.063581,0.000000,0.063581,,,,0
195,0.060795,0.000000,0.060795,-0.933,0.782,1.714,0
196,0.058519,0.000000,0.058519,,,,0
197,0.056323,0.000000,0.056323,,,,0
198,0.054399,0.000000,0.054399,,,,0
199,0.052793,0.000000,0.052793,,,,0
200,0.051645,0.000000,0.051645,-0.933,0.816,1.749,0
